IssueID,IssueCategory,IssueDescription,PossibleCause,SuggestedSolution
1,İnternet Bağlantısı Yok,Kullanıcı hiç internet erişimi olmadığını bildiriyor,Modem kapalı veya bağlantısı kesilmiş,"Modemi yeniden başlatın ve kablo bağlantılarını kontrol edin"
2,Yavaş İnternet,"İnternet çalışıyor ancak akşam saatlerinde çok yavaş",Ağ yoğunluğu,"Yoğun olmayan saatlerde denemeyi veya paketi yükseltmeyi önerin"
3,Sık Sık Bağlantı Kopması,"İnternet her birkaç dakikada bir kesiliyor","Zayıf Wi-Fi sinyali veya parazit","Modeme yaklaşın veya Wi-Fi kanalını değiştirin"
4,Wi-Fi Çalışmıyor,"Cihazlar Wi-Fi ağını algılamıyor","Modemde veya cihazda Wi-Fi kapalı","Wi-Fi’nin açık olduğundan ve SSID yayınının etkin olduğundan emin olun"
5,Video Yayınında Bekleme,"Video yüklenmesi uzun sürüyor veya sık sık duraklıyor","Düşük bant genişliği veya arka planda indirme işlemleri","Diğer indirmeleri duraklatın ve video kalitesini düşürün"
6,Web Sitesi Açılmıyor,"Belirli web siteleri açılmıyor","ISS DNS sorunu veya güvenlik duvarı engeli","DNS ayarlarını değiştirin veya güvenlik duvarını geçici olarak devre dışı bırakın"
7,Sınırlı Bağlantı,"Cihaz 'Bağlı, internet yok' diyor",IP yapılandırma hatası,"IP’yi yenileyin veya modemi yeniden başlatın"
8,VoIP Çalışmıyor,"Müşteri internet üzerinden arama yapamıyor","Portlar kapalı veya düşük bant genişliği","Port yönlendirmesini kontrol edin ve hız testi yapın"
9,Çevrim İçi Oyun Gecikmesi,"Oyunlarda gecikme veya bağlantı kopması","Yüksek gecikme süresi veya jitter","Kablolu bağlantı kullanın ve başka yoğun kullanım olmadığından emin olun"
10,Birden Fazla Cihaza Bağlanamıyor,"Yalnızca bir cihaz bağlanabiliyor","Modem limiti veya DHCP sorunu","Modemi sıfırlayın ve cihaz limiti ayarlarını kontrol edin"
11,Bazı Odalarda Sinyal Düşüklüğü,"Wi-Fi yalnızca belirli alanlarda çalışıyor","Modem konumu veya bina malzemesi paraziti","Wi-Fi genişletici veya mesh sistem kurun"
12,Elektrik Kesintisinden Sonra İnternet Yok,"Elektrik geldikten sonra bağlantı yok","Modem düzgün yeniden başlatılmamış","Modem ve yönlendiriciyi kapatıp açın"
13,Veri Kotası Doldu,"İnternet beklenmedik şekilde yavaşladı veya durdu","Adil kullanım kotası veya veri limiti aşıldı","Müşteri portalından kullanımınızı kontrol edin ve paket yükseltmeyi düşünün"
14,Modem Işıkları Yanıp Sönüyor,"Modemde alışılmadık ışık deseni","Hat sorunu veya ISS kesintisi","Müşteriye destek ile iletişime geçmesini veya kesinti haritasını kontrol etmesini söyleyin"
15,Aralıklı Hız Dalgalanmaları,"İnternet hızı rastgele değişiyor","ISS hız sınırlaması veya donanım sorunu","Farklı zamanlarda hız testi yapın ve ISS’ye bildirin"
